id,ism,familiya,otasining_ismi,tugilgan_sana,jins,email,telefon,shahar,manzil,passport_seriya,jshshir,millat,oilaviy_holat,ish_joyi,lavozim,ta'lim_darajasi,daromad,foydalanuvchi_turi,ro'yxatdan_o'tgan_sana
2451,Zulfiya,Aliyeva,Nilufar,1963-12-27,Ayol,leonid62@rambler.ru,81669479132,Toshkent,"алл. Боровая, д. 920",AF1147123,14607406540860,Turkman,Turmush qurgan,,Muhandis,Bakalavr,24545185.0,admin,2022-08-22
2452,Islom,Nazarov,Gulbahor,1992-04-22,Erkak,emilija84@ip.info,8 338 188 62 83,Jizzax,"алл. Калинина, д. 407",AF6539234,55714054090358,Qirg'iz,Ajrashgan,Artel,Direktor,Magistr,26714935.0,premium,2024-12-01
2453,Sherzod,Saidov,Jasur,1977-02-09,Erkak,vatslav_35@sogaz.biz,8 (214) 681-37-74,Toshkent,"ул. Тракторная, д. 2 стр. 9",AE3446838,46403184589410,Qirg'iz,Turmush qurgan,Ucell,Direktor,O‘rta maxsus,20131356.0,admin,2024-10-29
2454,Rayhona,Nazarova,,2005-09-14,Ayol,emil_2018@yandex.ru,+7 (307) 937-47-47,Jizzax,,AF6591154,29959129411621,Qirg'iz,Uylanmagan,Artel,Menejer,Oliy,24929188.0,premium,2025-05-17
2455,,Turaev,Jahongir,1979-09-07,Erkak,titovatatjana@zao.info,+73770746502,Andijon,"наб. Энгельса, д. 4/7 стр. 9/2",AD2441098,12290689321032,Turkman,Turmush qurgan,IT Park,Marketolog,O‘rta maxsus,,admin,2020-02-19
2456,Zulfiya,Saidova,Jahongir,1963-12-19,Ayol,maja_2024@mail.ru,84641859878,Jizzax,"ул. Западная, д. 8",,25950521235336,Qozoq,Uylanmagan,,Muhandis,Oliy,13554105.0,premium,2024-01-23
2457,Nilufar,Raximova,Madina,1986-07-25,Ayol,vlasovalarisa@gazneftetreding.info,+7 090 879 61 46,Namangan,"пер. Краснопартизанский, д. 259 к. 106",AF3738211,72551843738890,Qozoq,Ajrashgan,O‘zbekiston Temir Yo‘llari,O‘qituvchi,O‘rta maxsus,14970973.0,admin,2024-02-12
2458,Zulfiya,Nazarova,Islom,1958-05-11,Ayol,aleksandrovalora@moskovskaja.biz,8 538 607 0125,Farg‘ona,"бул. Советов, д. 4 к. 83",AA2234356,32707269232726,Qirg'iz,Turmush qurgan,NBU,Hisobchi,Oliy,26508108.0,premium,2023-10-25
2459,Jahongir,Ergashev,Oybek,1991-10-21,Erkak,filipp1981@gmail.com,85654521165,Samarqand,"пр. Менделеева, д. 57 стр. 2/1",AB4224031,82959117165056,Qirg'iz,Uylanmagan,EPAM,Dasturchi,Oliy,4336762.0,premium,2024-06-20
2460,Zafar,Raximov,Aziz,1994-07-21,Erkak,kononovkondrati@rambler.ru,8 (789) 796-7563,Buxoro,"алл. 60 лет СССР, д. 7/4 стр. 557",AB1596728,53942441951418,Rus,,Beeline,Marketolog,Oliy,5050106.0,admin,2020-07-17
2461,Nilufar,,Malika,,Ayol,ferapont26@dell.info,84955033969,Farg‘ona,"алл. Горняцкая, д. 491 к. 930",AE4731952,83581037673160,O'zbek,Ajrashgan,Agrobank,Hisobchi,Bakalavr,9195118.0,premium,2024-10-12
2462,Dilnoza,Nazarova,,1982-07-12,Ayol,juri_11@yandex.ru,+7 (718) 729-62-72,Andijon,"пер. Чехова, д. 6 стр. 609",AF7495275,23401198489456,Qirg'iz,Ajrashgan,UZTELECOM,Marketolog,Bakalavr,17296978.0,admin,2024-03-17
2463,Zulfiya,,Sherzod,1980-05-18,Ayol,demid_34@rambler.ru,8 336 240 02 13,Termiz,,AB9544357,73782544939453,Tojik,Uylanmagan,Agrobank,O‘qituvchi,Bakalavr,,oddiy,2024-04-05
2464,Jahongir,Raximov,Ziyoda,1962-05-07,Erkak,nikanor_1993@hotmail.com,86702875359,Samarqand,"наб. Харьковская, д. 4/6 к. 790",AF2187933,63926877306113,Qozoq,Uylanmagan,Yandex,O‘qituvchi,Oliy,,admin,2024-12-12
2465,Rayhona,Karimova,Ziyoda,1965-05-26,Ayol,dsmirnova@zao.edu,8 508 912 36 62,Toshkent,"наб. Фестивальная, д. 895 стр. 1",AA9585648,22673156282108,Rus,Uylanmagan,Artel,,Bakalavr,11055122.0,oddiy,2023-01-02
2466,Behruz,Aliyev,Aziza,1965-05-20,Erkak,polina_83@yandex.ru,8 (366) 432-0637,Andijon,,AF8031319,74901051557994,Rus,Turmush qurgan,UZTELECOM,Hisobchi,Bakalavr,8388254.0,oddiy,2022-11-07
2467,Ziyoda,Saidova,Oybek,1985-09-05,Ayol,milan_27@slavjansk.ru,+7 288 098 92 43,Xiva,"алл. Крупской, д. 127",AA3034648,20285506492843,Qirg'iz,Ajrashgan,Beeline,Operator,Bakalavr,19767672.0,oddiy,2021-09-26
2468,Sherzod,Yusupov,Aziza,2007-04-21,Erkak,juli_30@rambler.ru,+7 526 252 7952,Farg‘ona,"алл. Советской Армии, д. 1/7 к. 3",AE8519134,98363292747843,Qozoq,Turmush qurgan,UZTELECOM,Hisobchi,Magistr,13964920.0,premium,2025-07-18
2469,Islom,Mamadaliyev,Behruz,1991-06-15,Erkak,ifrolova@ao.edu,+7 936 041 39 48,Termiz,"пр. Шевченко, д. 129",AA2222439,35274810365504,Tojik,,Beeline,O‘qituvchi,Magistr,25862629.0,premium,2020-11-18
2470,Ziyoda,,Oybek,1976-03-04,Ayol,anastasija93@ao.ru,8 (547) 222-5901,Navoiy,"пер. Станционный, д. 5/7 к. 4/6",AB8086268,72415741995868,O'zbek,Uylanmagan,NBU,O‘qituvchi,,16088311.0,premium,2021-11-07
2471,Madina,Aliyeva,Jasur,1975-07-18,Ayol,igorovchinnikov@alfastrahovanie.edu,8 (053) 956-35-47,Namangan,"бул. Строителей, д. 4/9",AF1063458,52450537292864,Turkman,Uylanmagan,Agrobank,Muhandis,Magistr,15569932.0,oddiy,2021-09-13
2472,Aziz,Yusupov,Madina,1975-04-25,Erkak,kovalevviktorin@roszheldorproekt.edu,+7 748 600 1513,Farg‘ona,"пр. Карла Либкнехта, д. 5 стр. 5/8",AD6359731,86313341494822,O'zbek,Uylanmagan,Yandex,Menejer,Magistr,25558762.0,oddiy,2022-01-26
2473,Madina,Raximova,Islom,1977-01-25,Ayol,evgeni06@rao.ru,8 (358) 841-6713,Navoiy,"бул. Пирогова, д. 5 к. 7",AC3601124,86153879844322,O'zbek,Turmush qurgan,IT Park,Muhandis,O‘rta maxsus,13939142.0,admin,2024-10-15
2474,Jahongir,Turaev,Nilufar,1999-01-22,Erkak,izjaslav1992@rambler.ru,8 (165) 086-15-25,Farg‘ona,,AB4781324,58323408379442,Rus,Turmush qurgan,,Menejer,Oliy,21179325.0,admin,2021-05-09
2475,Nilufar,Yusupova,Aziz,1972-03-02,Ayol,savva2013@yahoo.com,81284997258,Toshkent,"бул. Парижской Коммуны, д. 4/7 к. 832",AD9730210,85751354088598,Turkman,Ajrashgan,NBU,Hisobchi,Bakalavr,27475680.0,,2022-03-15
2476,Aziz,Yusupov,Dilmurod,1990-04-04,Erkak,stanimir2013@yahoo.com,8 (777) 831-23-61,Termiz,"бул. Краснофлотский, д. 7/6",AF4252599,12538439870263,Qozoq,Turmush qurgan,Agrobank,Operator,,4273167.0,oddiy,2025-04-04
2477,Sherzod,Aliyev,Rayhona,1985-09-20,Erkak,voronovgeorgi@rambler.ru,85059979934,Jizzax,"алл. 8 Марта, д. 6/2 к. 969",AB9072456,54642555616783,Rus,Ajrashgan,IT Park,Menejer,Oliy,26604888.0,admin,2024-07-31
2478,Sherzod,Ergashev,Aziz,1973-03-04,Erkak,sigizmund_2007@oao.edu,86870252301,Jizzax,"бул. Локомотивный, д. 597 к. 871",AA8572696,,Tojik,Uylanmagan,UZTELECOM,Muhandis,O‘rta maxsus,16908656.0,admin,2022-12-25
2479,Aziza,Mamadaliyeva,Shahnoza,1987-08-22,Ayol,mefodi_1976@rambler.ru,+7 211 914 07 58,Toshkent,"пр. Овражный, д. 7/7 стр. 71",AA9790005,54796178035130,Rus,Turmush qurgan,Beeline,O‘qituvchi,Magistr,6607660.0,admin,2022-01-09
2480,Aziz,Raximov,Jasur,1958-02-07,,ljubosmisl_1973@yandex.ru,+7 492 743 79 40,Namangan,"ш. Дарвина, д. 53",AA2376503,31228572730836,Qozoq,Ajrashgan,UZTELECOM,Muhandis,Bakalavr,29312865.0,premium,2020-01-23
2481,Rayhona,Mamadaliyeva,Gulbahor,1979-02-04,Ayol,proklsmirnov@ao.ru,8 427 499 1330,Andijon,"ул. Майская, д. 5/5",AD7484792,96774912525051,Qirg'iz,Turmush qurgan,Beeline,Muhandis,,12623640.0,oddiy,2023-12-17
2482,Aziz,Yusupov,Zafar,1966-12-08,,titovaanzhelika@rao.edu,8 (509) 785-6168,Toshkent,"алл. Угловая, д. 3/9",AC8610298,46562486202541,O'zbek,Turmush qurgan,Agrobank,Operator,O‘rta maxsus,5706298.0,premium,2023-08-29
2483,Aziza,Xudoyberdiyeva,Nilufar,1958-04-01,Ayol,gedeon_1998@rambler.ru,8 718 365 6069,Navoiy,,AD7558796,11806158161175,Turkman,Turmush qurgan,Beeline,O‘qituvchi,,28506897.0,oddiy,2024-01-10
2484,Dilmurod,Ergashev,Gulbahor,1976-07-24,Erkak,nikifor18@gmail.com,8 (649) 727-52-70,Termiz,"бул. Семашко, д. 2/2 к. 966",AC4409949,93042210252300,Qozoq,Uylanmagan,IT Park,Marketolog,Bakalavr,9978715.0,admin,2025-02-06
2485,Aziza,Xudoyberdiyeva,Malika,1998-03-04,Ayol,martinmishin@ip.info,,Navoiy,"наб. Медицинская, д. 2/4",AD8269100,27102839428203,O'zbek,Uylanmagan,Ucell,Menejer,O‘rta maxsus,9927866.0,oddiy,2023-11-19
2486,Aziza,Raximova,Dilmurod,1986-07-15,Ayol,epifan_2012@gmail.com,8 (258) 367-8961,Toshkent,"ш. Партизанское, д. 9/8 стр. 34",,13579742261850,Turkman,Turmush qurgan,Artel,Menejer,Oliy,10593118.0,oddiy,
2487,Madina,Karimova,Baxtiyor,1974-03-22,,jveselov@yandex.ru,+7 (195) 412-1619,Jizzax,"наб. Короленко, д. 33",AA3320718,77154717811578,Rus,,Artel,Dasturchi,Bakalavr,4898658.0,oddiy,2020-11-16
2488,Zulfiya,Nazarova,Gulbahor,1959-12-19,Ayol,elise56@oao.net,+7 (101) 281-26-43,Termiz,"бул. Верхний, д. 1 стр. 465",AE8277043,84361373687440,Turkman,Uylanmagan,Yandex,Operator,Bakalavr,8828878.0,admin,2024-09-03
2489,Baxtiyor,Nazarov,Islom,2005-12-15,Erkak,titovivan@yahoo.com,8 (525) 528-08-42,Xiva,"алл. Островского, д. 586 стр. 436",AE9027111,85208502564862,Tojik,Uylanmagan,Beeline,Dasturchi,Magistr,4567137.0,admin,2023-11-09
2490,Nilufar,Karimova,,1956-06-05,Ayol,fokindmitri@mail.ru,+7 322 359 38 97,Toshkent,"ш. Тупиковое, д. 1/4 к. 7/9",AB4708564,21970975083820,O'zbek,Turmush qurgan,EPAM,Marketolog,Bakalavr,,oddiy,2025-03-26
2491,Dilmurod,,,1967-10-01,Erkak,gleb_1984@rambler.ru,8 338 917 70 10,Jizzax,"пр. Королева, д. 2/7",AA2344804,16090840949986,Tojik,Uylanmagan,IT Park,Dasturchi,O‘rta maxsus,18132789.0,premium,2020-11-27
2492,Jahongir,Ergashev,Aziza,1999-04-26,Erkak,trifon70@zao.biz,8 356 395 36 98,Jizzax,"ш. Мелиораторов, д. 59",AD1612055,42310287692929,O'zbek,Turmush qurgan,Agrobank,Hisobchi,O‘rta maxsus,24890457.0,oddiy,2020-01-30
2493,Behruz,Mamadaliyev,Jasur,1967-01-30,Erkak,julian1982@gmail.com,+7 208 006 08 46,Samarqand,"пр. Комсомольский, д. 6 стр. 3/5",AD8691138,10019834913673,Qirg'iz,Uylanmagan,Artel,Operator,Oliy,,premium,2024-04-19
2494,Islom,Nazarov,Behruz,1967-05-07,Erkak,mamontovpotap@mail.ru,+7 920 349 1056,Andijon,"пр. Никитина, д. 27 стр. 1/4",AE6291727,44887781197501,Rus,Ajrashgan,Artel,Muhandis,O‘rta maxsus,13611448.0,premium,2023-09-07
2495,Behruz,Karimov,Nilufar,1993-04-28,Erkak,budimir50@zao.org,8 (405) 660-96-49,Xiva,"ш. Коммунистическое, д. 7/2",AA5009197,61647231107833,Turkman,Ajrashgan,UZTELECOM,Menejer,Oliy,25660622.0,admin,2023-04-15
2496,Baxtiyor,Raximov,Shahnoza,1977-05-19,Erkak,taisija_94@rambler.ru,8 314 339 4095,Buxoro,"бул. Максима Горького, д. 5 к. 3/6",AB5301967,11396557892289,Turkman,Turmush qurgan,IT Park,,Magistr,,oddiy,2020-05-09
2497,,Aliyev,Gulbahor,1990-07-04,Erkak,gedeonsavelev@zao.info,80393952181,Andijon,"пер. Февральский, д. 1 стр. 4/9",AA7802722,41970022129785,Qirg'iz,Ajrashgan,Agrobank,Muhandis,O‘rta maxsus,8124987.0,oddiy,2023-12-09
2498,Oybek,Yusupov,Zulfiya,1992-01-17,Erkak,ostapfomichev@npo.com,+7 810 330 14 97,Namangan,"бул. Лунный, д. 1",AC9730584,17045294397176,Qozoq,Ajrashgan,Beeline,Direktor,Oliy,5462410.0,admin,2025-08-03
2499,Sherzod,Yusupov,Jahongir,1968-05-03,Erkak,bikovhariton@ao.com,8 (911) 810-6641,Navoiy,"пер. Путейский, д. 86",AC6737313,86234670325645,Rus,Ajrashgan,Beeline,Dasturchi,Magistr,8000296.0,admin,2022-02-03
2500,Baxtiyor,Karimov,Nilufar,1992-08-16,,shestakovartemi@rambler.ru,8 864 832 24 50,Andijon,"пер. Дзержинского, д. 52",AF2053263,43987992024110,Rus,Ajrashgan,EPAM,Hisobchi,Magistr,24133259.0,admin,2024-08-16
2501,Shahnoza,Xudoyberdiyeva,Aziz,2000-11-11,Ayol,kuprijan_53@uralskie.biz,+7 872 687 9182,Navoiy,"пер. Металлургов, д. 1 к. 470",AB4944754,82775203381451,O'zbek,Turmush qurgan,NBU,Direktor,Magistr,11144991.0,premium,2020-01-27
2502,Zulfiya,Saidova,Dilmurod,2004-08-31,Ayol,anike2013@yandex.ru,+7 (875) 097-4025,Termiz,"пр. Коллективный, д. 1",AD8700080,12653321267503,Qozoq,Turmush qurgan,Yandex,Marketolog,,11956617.0,oddiy,2022-01-28
2503,Jasur,Raximov,Shahnoza,2004-04-09,Erkak,bazhen_2009@mezhdunarodni.com,8 821 118 31 58,Namangan,"бул. Привокзальный, д. 1/7 стр. 5/3",AF5366648,94216718997308,Qirg'iz,,O‘zbekiston Temir Yo‘llari,Hisobchi,Oliy,17780713.0,admin,2021-04-25
2504,Jahongir,Nazarov,Aziz,1970-10-05,Erkak,,8 112 440 70 54,Jizzax,"бул. Пушкинский, д. 7/3 к. 8/7",AC9366698,26512656717002,O'zbek,Turmush qurgan,EPAM,Operator,Oliy,6244346.0,admin,2023-12-06
2505,Madina,Raximova,Behruz,1957-04-25,Ayol,nikandrkozlov@oao.com,8 (322) 304-2423,Andijon,"алл. Серафимовича, д. 369 к. 2",AC7606588,37875796163539,Turkman,Ajrashgan,Ucell,Dasturchi,Magistr,24973583.0,premium,2024-04-28
2506,Jasur,Saidov,Oybek,1961-01-02,Erkak,alekseevaevfrosinija@zao.biz,+77057539780,Samarqand,"пр. Победа, д. 344 стр. 8/7",AE3934405,65101410608435,Turkman,Uylanmagan,Beeline,Marketolog,Magistr,16549614.0,premium,2023-11-06
2507,Malika,Raximova,Sherzod,1960-12-03,Ayol,,+7 368 100 5994,Buxoro,"пр. Кедровый, д. 67",AA9652927,20515284137070,Tojik,Turmush qurgan,Yandex,Menejer,Bakalavr,9809314.0,oddiy,2021-08-28
2508,Dilnoza,,Gulbahor,1977-02-22,Ayol,bikovaolga@gmail.com,+7 (626) 642-93-35,Navoiy,"наб. Чайкиной, д. 1/2 стр. 4/2",AD1070141,27303751127036,,Ajrashgan,UZTELECOM,O‘qituvchi,O‘rta maxsus,5116578.0,admin,2024-11-27
2509,Jasur,Mamadaliyev,Gulbahor,1957-07-04,Erkak,tihonovipat@danilova.org,8 (461) 739-6800,Farg‘ona,"пр. Звездный, д. 8",AA3709956,50842977184851,Tojik,Ajrashgan,NBU,Direktor,Oliy,13807550.0,oddiy,2023-11-05
2510,Baxtiyor,Yusupov,Shahnoza,1972-10-04,Erkak,silvestr81@yandex.ru,8 (197) 638-9949,Andijon,"ш. Горького, д. 7 к. 4",AE4882979,94322866957712,Turkman,Ajrashgan,Artel,Operator,Oliy,8972379.0,oddiy,2022-02-16
2511,Ziyoda,Xudoyberdiyeva,Ziyoda,1967-07-20,Ayol,pblohin@zao.edu,86893176546,Buxoro,"ш. Бригадное, д. 91 к. 8/7",AB1464799,93765112225217,Rus,Ajrashgan,Ucell,Muhandis,Bakalavr,19796625.0,premium,2021-10-08
2512,Dilmurod,Raximov,Oybek,1989-08-25,Erkak,fevronija_51@mail.ru,+7 029 085 47 65,Buxoro,"пр. Громова, д. 9/1 стр. 691",AE3863394,77915267616977,Qozoq,Ajrashgan,Beeline,Menejer,Bakalavr,8653956.0,premium,2024-04-12
2513,Behruz,Nazarov,Sherzod,1965-01-26,Erkak,dmitri_20@zao.com,80220239377,Termiz,"бул. Суворова, д. 615 стр. 114",AA4839742,12023564634697,Qirg'iz,Turmush qurgan,Yandex,Hisobchi,O‘rta maxsus,9090317.0,oddiy,2020-07-13
2514,Oybek,Aliyev,Zulfiya,1994-10-27,Erkak,valentin2009@rambler.ru,8 121 361 5009,Jizzax,"наб. Кольцова, д. 5",AF7190584,90230821567533,Qozoq,Uylanmagan,IT Park,O‘qituvchi,,12715846.0,oddiy,2024-03-06
2515,Shahnoza,Karimova,Ziyoda,1963-09-21,Ayol,savva_1979@avtogermes.com,8 (253) 401-1328,,"ш. 30 лет Победы, д. 70 к. 5",AA4684707,16497057521755,Tojik,Uylanmagan,NBU,O‘qituvchi,Bakalavr,5179693.0,premium,2020-07-24
2516,Zafar,Mamadaliyev,Zulfiya,2007-07-24,Erkak,konon_2010@ip.net,81532728308,Xiva,"ш. Тукая, д. 9/2 к. 915",AC5714299,94644777087226,Tojik,Ajrashgan,O‘zbekiston Temir Yo‘llari,Direktor,Bakalavr,5658128.0,admin,2022-09-14
2517,,Karimov,Oybek,2000-11-13,Erkak,avtonom_2013@oao.com,8 (780) 590-17-24,Andijon,"наб. Баумана, д. 52 стр. 7",AF3322851,99490944160112,O'zbek,Uylanmagan,Yandex,Menejer,Bakalavr,9605138.0,premium,2020-01-31
2518,Gulbahor,Yusupova,Dilmurod,1962-06-29,Ayol,fedotfokin@kabanov.net,87926658010,Termiz,"наб. Шахтерская, д. 829 к. 2/7",AC8208864,24131102491824,Turkman,Uylanmagan,Yandex,Hisobchi,Magistr,29488413.0,oddiy,2020-08-18
2519,Jahongir,Saidov,Islom,1974-06-09,Erkak,ladislav_1988@ip.com,+72380927526,Xiva,"алл. Болотная, д. 1/2 стр. 9/6",AB5273878,93391478646656,Turkman,Uylanmagan,Artel,Marketolog,Bakalavr,26383270.0,oddiy,2024-05-28
2520,Zulfiya,Turaeva,Baxtiyor,1982-06-26,Ayol,vladimirovairaida@npo.edu,8 (158) 581-46-42,Navoiy,"пер. Мира, д. 8/7 стр. 494",AB2967955,73218594925860,O'zbek,Ajrashgan,Yandex,Direktor,O‘rta maxsus,14066628.0,oddiy,2021-04-13
2521,Jasur,Yusupov,Islom,1961-03-30,,leonid_53@gmail.com,8 (314) 466-2938,Andijon,,,79422249756442,O'zbek,Turmush qurgan,EPAM,Muhandis,Oliy,7901827.0,oddiy,2020-08-30
2522,Zulfiya,Yusupova,Shahnoza,1964-07-16,Ayol,jaropolk1998@oao.org,8 975 036 7788,Xiva,"алл. Трактовая, д. 2/3 стр. 7",AB6385761,49186610082399,Qirg'iz,Turmush qurgan,Artel,Muhandis,Bakalavr,10096525.0,admin,2021-03-17
2523,Nilufar,Nazarova,,1974-03-22,Ayol,galkinfade@oao.biz,+7 (240) 128-5331,Termiz,"наб. Новоселов, д. 602 к. 9/6",AF3034700,21186429356938,Turkman,Ajrashgan,Beeline,Muhandis,Magistr,4687184.0,admin,2020-04-01
2524,Aziz,Turaev,Islom,1961-06-22,Erkak,pankratkolobov@oao.biz,83621171552,Namangan,"пер. Орджоникидзе, д. 888 к. 6",AB9251590,74691463239894,Tojik,,NBU,O‘qituvchi,O‘rta maxsus,22008514.0,admin,2023-12-03
2525,Nilufar,Mamadaliyeva,Gulbahor,1972-09-06,Ayol,orestlapin@zhdanov.ru,+7 (520) 891-8978,Navoiy,"наб. Просторная, д. 97 стр. 423",AE2417233,32976983201287,Rus,Turmush qurgan,UZTELECOM,Hisobchi,O‘rta maxsus,22979933.0,premium,2022-02-14
2526,Sherzod,Nazarov,Islom,1987-03-02,Erkak,udanilov@mail.ru,8 (141) 589-1084,Toshkent,"алл. Азовская, д. 53 к. 4/4",AD1757624,99032553136227,Tojik,Ajrashgan,O‘zbekiston Temir Yo‘llari,Marketolog,Magistr,15483561.0,oddiy,2022-04-08
2527,Nilufar,Aliyeva,Zulfiya,1998-07-01,Ayol,kliment_17@oao.ru,8 (454) 931-8170,Jizzax,"ул. Кутузова, д. 9",AA2968109,55731689273366,O'zbek,Turmush qurgan,O‘zbekiston Temir Yo‘llari,O‘qituvchi,O‘rta maxsus,27615568.0,oddiy,2024-10-02
2528,Dilnoza,Karimova,Zulfiya,1959-06-30,Ayol,emeljanmuhin@ooo.biz,+7 (425) 900-48-97,Termiz,"алл. Седова, д. 64 к. 9/2",AB8046322,56514874127977,Qirg'iz,Uylanmagan,NBU,Dasturchi,Bakalavr,29293409.0,oddiy,2020-10-22
2529,,Raximov,Dilnoza,1966-12-11,Erkak,lapinnarkis@yahoo.com,88531000110,Navoiy,"ш. Ростовское, д. 915 к. 772",AB6236262,34091098003304,Tojik,,Agrobank,Marketolog,Oliy,16026790.0,oddiy,2022-02-22
2530,Dilnoza,Xudoyberdiyeva,Baxtiyor,1977-01-10,Ayol,isanosov@rambler.ru,+7 (266) 241-59-35,Toshkent,"пр. Физкультурный, д. 9/5 к. 11",AD8271085,25562119379025,Tojik,Uylanmagan,Yandex,Dasturchi,Magistr,26860991.0,admin,2024-05-20
2531,Rayhona,Raximova,Aziz,1978-04-30,Ayol,tit_1996@hotmail.com,+7 222 155 3039,Namangan,"пр. Лермонтова, д. 4",AB1690737,14890429406039,Tojik,Ajrashgan,IT Park,Direktor,Oliy,19098998.0,admin,2023-02-28
2532,Dilmurod,Nazarov,Oybek,1958-07-29,Erkak,evdokimpotapov@yandex.ru,8 (935) 927-2258,Farg‘ona,"ш. Майское, д. 401 к. 710",,96489873707914,Rus,,Artel,O‘qituvchi,,2689694.0,admin,2024-04-17
2533,Jahongir,Karimov,Jasur,2002-01-09,Erkak,loginovtrofim@rao.ru,+7 (658) 804-96-24,Navoiy,"ул. Республиканская, д. 8/1",AE4331257,12012845496021,Qirg'iz,Turmush qurgan,,Direktor,O‘rta maxsus,23020960.0,oddiy,2025-05-15
2534,Aziz,Ergashev,Rayhona,1962-02-26,Erkak,aggeveselov@ip.net,+7 (613) 135-5248,Xiva,"ш. Фурманова, д. 494 стр. 1/7",AF4366406,93166957568244,Turkman,Ajrashgan,IT Park,Direktor,Oliy,27857868.0,oddiy,2022-09-04
2535,Zafar,,Sherzod,1991-08-30,Erkak,shirjaevaevdokija@gmail.com,8 (342) 365-5308,Andijon,"бул. Пионерский, д. 804 стр. 39",AD8972332,22879879647449,O'zbek,Ajrashgan,Ucell,O‘qituvchi,Magistr,23398937.0,admin,2022-05-10
2536,Ziyoda,Mamadaliyeva,Ziyoda,1954-11-20,Ayol,luchezar1974@rambler.ru,8 (560) 492-40-49,Toshkent,"алл. Баумана, д. 6/4 стр. 3",AC1942641,69330036318766,Rus,Turmush qurgan,O‘zbekiston Temir Yo‘llari,O‘qituvchi,,3495442.0,admin,2021-03-07
2537,Dilnoza,Mamadaliyeva,Dilnoza,1996-03-11,,nonna_77@yahoo.com,+75622319137,Samarqand,"пер. Рабочий, д. 13 стр. 647",AF7769044,98086964185125,Qirg'iz,Uylanmagan,IT Park,Dasturchi,O‘rta maxsus,7307895.0,admin,2023-04-16
2538,Dilmurod,,Shahnoza,1989-11-20,Erkak,kolobovaekaterina@npo.com,8 155 523 8450,Namangan,"алл. Пушкина, д. 61 стр. 230",AE7963973,22611445772618,Qirg'iz,Ajrashgan,Ucell,Hisobchi,Oliy,14758959.0,,2021-06-02
2539,Dilnoza,Saidova,Baxtiyor,,Ayol,ndjachkova@gmail.com,8 079 567 40 68,Toshkent,"наб. Октября, д. 6",AD3883373,49004764108046,Rus,Ajrashgan,Yandex,Hisobchi,Bakalavr,6234637.0,oddiy,
2540,Madina,Xudoyberdiyeva,Dilnoza,2000-04-01,Ayol,sidorovfoka@rambler.ru,+7 243 719 4734,Toshkent,"бул. Разина, д. 25",AF9333315,60258804751637,Tojik,Turmush qurgan,UZTELECOM,Muhandis,Oliy,22483447.0,premium,2020-07-22
2541,Aziz,Aliyev,,1984-11-08,Erkak,filatovaanastasija@yandex.ru,,Samarqand,"ул. Кооперативная, д. 55 к. 50",AE9919386,47121045343124,Qozoq,Turmush qurgan,Yandex,O‘qituvchi,Oliy,22886464.0,oddiy,2024-05-19
2542,Rayhona,Aliyeva,Malika,1968-05-28,Ayol,bikovkirill@yandex.ru,+7 713 660 70 19,Namangan,"наб. Жуковского, д. 9/9 к. 8/8",AF8799930,30120546233732,Rus,Turmush qurgan,Agrobank,Direktor,Bakalavr,16576632.0,admin,2023-01-02
2543,Dilnoza,,Jasur,1994-07-31,Ayol,efremovprohor@ip.biz,,Farg‘ona,"наб. Казанская, д. 990 к. 2/3",AC5548055,80803598799266,Qozoq,Ajrashgan,O‘zbekiston Temir Yo‘llari,Operator,Bakalavr,17156773.0,premium,2021-07-05
2544,Aziz,Turaev,Dilmurod,1997-11-13,Erkak,,+76597939909,Farg‘ona,"пер. Пионерский, д. 2/1",AF3003136,45085668817752,Tojik,Ajrashgan,IT Park,Hisobchi,Bakalavr,20357787.0,admin,2021-07-17
2545,Oybek,Raximov,Islom,1988-01-18,Erkak,jakub76@gk.edu,+7 (780) 121-76-23,Farg‘ona,"наб. Лазурная, д. 7",AC3067747,57016426524068,Qirg'iz,Ajrashgan,Agrobank,Menejer,Oliy,25224486.0,premium,2020-09-22
2546,Jahongir,Raximov,Shahnoza,1979-12-24,Erkak,eliseevasinklitikija@mail.ru,+7 (999) 039-42-20,Navoiy,"пр. Моховой, д. 7/7 к. 98",AD9560579,23424433866577,Turkman,Turmush qurgan,UZTELECOM,Menejer,Oliy,6152419.0,oddiy,2022-09-15
2547,Baxtiyor,Aliyev,Baxtiyor,1970-09-02,,georgi_68@ao.net,8 031 552 60 08,Jizzax,"бул. Шолохова, д. 3",AE9563679,14235472239820,Qirg'iz,Ajrashgan,O‘zbekiston Temir Yo‘llari,Menejer,,8971191.0,oddiy,2023-09-02
2548,Ziyoda,Yusupova,,1964-11-09,,aggedrozdov@rao.edu,+7 (012) 876-62-21,Termiz,"алл. Московская, д. 486 к. 4/6",AB4193948,39852300745999,,Turmush qurgan,Yandex,Direktor,Bakalavr,28669923.0,admin,2020-12-03
2549,Rayhona,Saidova,Zafar,2006-06-11,Ayol,ruslanzimin@gmail.com,8 441 834 1208,Jizzax,"ул. Тургенева, д. 363 стр. 4",AD7951800,32610868879449,Qirg'iz,Turmush qurgan,NBU,Direktor,Bakalavr,17807705.0,admin,2023-06-30
